country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Finland,FIN,2001,2.5,
Finland,FIN,2002,2.5,
Finland,FIN,2003,2.5,
Finland,FIN,2004,2.5,
Finland,FIN,2005,2.5,
Finland,FIN,2006,2.5,
Finland,FIN,2007,2.5,
Finland,FIN,2008,2.5,
Finland,FIN,2009,2.5,
Finland,FIN,2010,2.5,
Finland,FIN,2011,2.5,
Finland,FIN,2012,2.5,
Finland,FIN,2013,2.5,
Finland,FIN,2014,2.5,
Finland,FIN,2015,2.5,2.4
Finland,FIN,2016,2.5,2.3
Finland,FIN,2017,2.5,2.1
Finland,FIN,2018,2.5,2.0
Finland,FIN,2019,2.5,1.9
Finland,FIN,2020,2.5,2.4
Finland,FIN,2021,2.5,2.6
Finland,FIN,2022,2.5,3.0
Finland,FIN,2023,2.5,2.9
