country,iso3,year,prevalence_of_undernourishment_percent_3yr_avg,prevalence_of_severe_food_insecurity_percent_3yr_avg
Ireland,IRL,2001,2.5,
Ireland,IRL,2002,2.5,
Ireland,IRL,2003,2.5,
Ireland,IRL,2004,2.5,
Ireland,IRL,2005,2.5,
Ireland,IRL,2006,2.5,
Ireland,IRL,2007,2.5,
Ireland,IRL,2008,2.5,
Ireland,IRL,2009,2.5,
Ireland,IRL,2010,2.5,
Ireland,IRL,2011,2.5,
Ireland,IRL,2012,2.5,
Ireland,IRL,2013,2.5,
Ireland,IRL,2014,2.5,
Ireland,IRL,2015,2.5,3.4
Ireland,IRL,2016,2.5,2.8
Ireland,IRL,2017,2.5,2.9
Ireland,IRL,2018,2.5,3.5
Ireland,IRL,2019,2.5,4.3
Ireland,IRL,2020,2.5,3.2
Ireland,IRL,2021,2.5,2.4
Ireland,IRL,2022,2.5,1.7
Ireland,IRL,2023,2.5,2.1
